# 🚨
# 🚨 Source: https://wolfberg.net/what/NWL18defs.exe::NWL18defs.txt
# 🚨
	NWL2018 (2019-2-20)
relay relayed relaying relays	RELAY v -ED, -ING, -S to send along by using fresh sets to replace tired ones
relearn relearned relearnt relearning relearns	RELEARN v -LEARNED or -LEARNT, -LEARNING, -LEARNS
release released releasing releases	RELEASE v -LEASED, -LEASING, -LEASES to set free
releasee releasees	RELEASEE n pl. -S one that is released
releaser releasers	RELEASER n pl. -S one that releases
releasor releasors	RELEASOR n pl. -S releaser
relegate relegated relegating relegates	RELEGATE v -GATED, -GATING, -GATES to assign
relend relent relending relends	RELEND v -LENT, -LENDING, -LENDS
relent relented relenting relents	RELENT v -ED, -ING, -S to become less severe
relet reletting relets	RELET v -LET, -LETTING, -LETS
reletter relettered relettering reletters	RELETTER v -ED, -ING, -S
relevant	RELEVANT adj pertaining to the matter at hand
releve releves	RELEVE n pl. -S a raising onto the toe in ballet
reliable reliables	RELIABLE n pl. -S one that can be relied on
reliably	RELIABLY adv in a manner that can be relied on
reliance reliances	RELIANCE n pl. -S confident or trustful dependence
reliant	RELIANT adj showing reliance
relic relics	RELIC n pl. -S a surviving memorial of something past
relict relicts	RELICT n pl. -S an organism surviving in a changed environment
relief reliefs	RELIEF n pl. -S aid in the form of money or necessities
relier reliers	RELIER n pl. -S one that relies
relieve relieved relieving relieves	RELIEVE v -LIEVED, -LIEVING, -LIEVES to lessen or free from pain or discomfort
reliever relievers	RELIEVER n pl. -S one that relieves
relievo relievos	RELIEVO n pl. -VOS the projection of figures or forms from a flat background
relight relighted relit relighting relights	RELIGHT v -LIGHTED or -LIT, -LIGHTING, -LIGHTS
religion religions	RELIGION n pl. -S the worship of a god or the supernatural
reline relined relining relines	RELINE v -LINED, -LINING, -LINES
relink relinked relinking relinks	RELINK v -ED, -ING, -S
relique reliques	RELIQUE n pl. -S relic
relish relished relishing relishes	RELISH v -ED, -ING, -ES to enjoy
relist relisted relisting relists	RELIST v -ED, -ING, -S
relisten relistened relistening relistens	RELISTEN v -ED, -ING, -S
relive relived reliving relives	RELIVE v -LIVED, -LIVING, -LIVES to experience again
relleno rellenos	RELLENO n pl. -S a Mexican dish of a stuffed and fried green chile
reload reloaded reloading reloads	RELOAD v -ED, -ING, -S
reloader reloaders	RELOADER n pl. -S one that reloads
reloan reloaned reloaning reloans	RELOAN v -ED, -ING, -S
relocate relocated relocating relocates	RELOCATE v -CATED, -CATING, -CATES to establish in a new place
relock relocked relocking relocks	RELOCK v -ED, -ING, -S
relook relooked relooking relooks	RELOOK v -ED, -ING, -S
relucent	RELUCENT adj reflecting light
reluct relucted relucting relucts	RELUCT v -ED, -ING, -S to show opposition
relume relumed reluming relumes	RELUME v -LUMED, -LUMING, -LUMES to light again
relumine relumined relumining relumines	RELUMINE v -MINED, -MINING, -MINES to relume
rely relied relying relies	RELY v -LIED, -LYING, -LIES to place trust or confidence
rem rems	REM n pl. -S a quantity of ionizing radiation
remail remailed remailing remails	REMAIL v -ED, -ING, -S
remailer remailers	REMAILER n pl. -S an Internet service that forwards email anonymously
remain remained remaining remains	REMAIN v -ED, -ING, -S to continue in the same state
remake remade remaking remakes	REMAKE v -MADE, -MAKING, -MAKES
remaker remakers	REMAKER n pl. -S one that remakes
reman remanned remanning remans	REMAN v -MANNED, -MANNING, -MANS to furnish with a fresh supply of men
remand remanded remanding remands	REMAND v -ED, -ING, -S to send back
remanent	REMANENT adj remaining
remap remapped remapping remaps	REMAP v -MAPPED, -MAPPING, -MAPS
remark remarked remarking remarks	REMARK v -ED, -ING, -S to say or write briefly or casually
remarker remarkers	REMARKER n pl. -S one that remarks
remarket remarketed remarketing remarkets	REMARKET v -ED, -ING, -S
remarque remarques	REMARQUE n pl. -S a mark made in the margin of an engraved plate
remarry remarried remarrying remarries	REMARRY v -RIED, -RYING, -RIES
remaster remastered remastering remasters	REMASTER v -ED, -ING, -S
rematch rematched rematching rematches	REMATCH v -ED, -ING, -ES
remate remated remating remates	REMATE v -MATED, -MATING, -MATES
remedial	REMEDIAL adj intended to correct something
remedy remedied remedying remedies	REMEDY v -DIED, -DYING, -DIES to relieve or cure
remeet remet remeeting remeets	REMEET v -MET, -MEETING, -MEETS
remelt remelted remelting remelts	REMELT v -ED, -ING, -S
remember remembered remembering remembers	REMEMBER v -ED, -ING, -S to bring to mind again
remend remended remending remends	REMEND v -ED, -ING, -S
remerge remerged remerging remerges	REMERGE v -MERGED, -MERGING, -MERGES
remex remiges remigial	REMEX n pl. REMIGES a flight feather of a bird's wing REMIGIAL adj
remind reminded reminding reminds	REMIND v -ED, -ING, -S to cause to remember
reminder reminders	REMINDER n pl. -S one that reminds
remint reminted reminting remints	REMINT v -ED, -ING, -S to melt down and make into new coin
remise remised remising remises	REMISE v -MISED, -MISING, -MISES to give up a claim to
remiss remissly	REMISS adj careless REMISSLY adv
remit remitted remitting remits	REMIT v -MITTED, -MITTING, -MITS to send money in payment
remittal remittals	REMITTAL n pl. -S the act of remitting
remitter remitters	REMITTER n pl. -S one that remits
remittor remittors	REMITTOR n pl. -S remitter
remix remixed remixt remixing remixes	REMIX v -MIXED or -MIXT, -MIXING, -MIXES
remixer remixers	REMIXER n pl. -S one that remixes (as a recording)
remnant remnants	REMNANT n pl. -S something remaining
remodel remodeled remodeling remodels remodelled remodelling	REMODEL v -ELED, -ELING, -ELS or -ELLED, -ELLING, -ELS to make over
remodify remodified remodifying remodifies	REMODIFY v -FIED, -FYING, -FIES
remolade remolades	REMOLADE n pl. -S a piquant sauce
remold remolded remolding remolds	REMOLD v -ED, -ING, -S
remora remoras remorid	REMORA n pl. -S a type of marine fish REMORID adj
remorse remorses	REMORSE n pl. -S deep anguish caused by a sense of guilt
remote remoter remotest remotely	REMOTE adj -MOTER, -MOTEST situated far away REMOTELY adv
remote remotes	REMOTE n pl. -S a broadcast originating outside a studio
remotion remotions	REMOTION n pl. -S the act of removing
remould remoulded remoulding remoulds	REMOULD v -ED, -ING, -S
remount remounted remounting remounts	REMOUNT v -ED, -ING, -S
removal removals	REMOVAL n pl. -S the act of removing
remove removed removing removes	REMOVE v -MOVED, -MOVING, -MOVES to take or move away
remover removers	REMOVER n pl. -S one that removes
remuda remudas	REMUDA n pl. -S a herd of horses
renail renailed renailing renails	RENAIL v -ED, -ING, -S
renal	RENAL adj pertaining to the kidneys
rename renamed renaming renames	RENAME v -NAMED, -NAMING, -NAMES
renature renatured renaturing renatures	RENATURE v -TURED, -TURING, -TURES to restore natural qualities
rend rent rended rending rends	REND v RENT or RENDED, RENDING, RENDS to tear apart forcibly
render rendered rendering renders	RENDER v -ED, -ING, -S to cause to be or become
renderer renderers	RENDERER n pl. -S one that renders
rendible	RENDIBLE adj capable of being rent
rendzina rendzinas	RENDZINA n pl. -S a type of soil
renegade renegaded renegading renegades	RENEGADE v -GADED, -GADING, -GADES to become a traitor
renegado renegados renegadoes	RENEGADO n pl. -DOS or -DOES a traitor
renege reneged reneging reneges	RENEGE v -NEGED, -NEGING, -NEGES to fail to carry out a promise or commitment
reneger renegers	RENEGER n pl. -S one that reneges
renegue renegued reneguing renegues	RENEGUE v -GUED, -GUING, -GUES to renege
renest renested renesting renests	RENEST v -ED, -ING, -S
renew renewed renewing renews	RENEW v -ED, -ING, -S to make new or as if new again
renewal renewals	RENEWAL n pl. -S the act of renewing
renewer renewers	RENEWER n pl. -S one that renews
reniform	RENIFORM adj kidney-shaped
renig renigged renigging renigs	RENIG v -NIGGED, -NIGGING, -NIGS to renege
renin renins	RENIN n pl. -S an enzyme
renitent	RENITENT adj resisting physical pressure
renminbi	RENMINBI n pl. RENMINBI currency in the People's Republic of China
rennase rennases	RENNASE n pl. -S rennin
rennet rennets	RENNET n pl. -S a lining membrane in the stomach of certain young animals
rennin rennins	RENNIN n pl. -S an enzyme
reno renos	RENO n pl. -S a renovated house
renogram renograms	RENOGRAM n pl. -S a photographic depiction of the course of renal excretion
renotify renotified renotifying renotifies	RENOTIFY v -FIED, -FYING, -FIES
renounce renounced renouncing renounces	RENOUNCE v -NOUNCED, -NOUNCING, -NOUNCES to disown
renovate renovated renovating renovates	RENOVATE v -VATED, -VATING, -VATES to make like new
renown renowned renowning renowns	RENOWN v -ED, -ING, -S to make famous
rent rented renting rents rentable	RENT v -ED, -ING, -S to obtain temporary use of in return for compensation RENTABLE adj
rental rentals	RENTAL n pl. -S an amount paid or collected as rent
rente rentes	RENTE n pl. -S annual income under French law
renter renters	RENTER n pl. -S one that rents
rentier rentiers	RENTIER n pl. -S one that receives a fixed income
renumber renumbered renumbering renumbers	RENUMBER v -ED, -ING, -S
renvoi renvois	RENVOI n pl. -S the expulsion by a government of an alien
reobject reobjected reobjecting reobjects	REOBJECT v -ED, -ING, -S
reobtain reobtained reobtaining reobtains	REOBTAIN v -ED, -ING, -S
reoccupy reoccupied reoccupying reoccupies	REOCCUPY v -PIED, -PYING, -PIES
reoccur reoccurred reoccurring reoccurs	REOCCUR v -CURRED, -CURRING, -CURS
reoffend reoffended reoffending reoffends	REOFFEND v -ED, -ING, -S
reoffer reoffered reoffering reoffers	REOFFER v -ED, -ING, -S to offer for public sale
reoil reoiled reoiling reoils	REOIL v -ED, -ING, -S
reopen reopened reopening reopens	REOPEN v -ED, -ING, -S
reoppose reopposed reopposing reopposes	REOPPOSE v -POSED, -POSING, -POSES
reordain reordained reordaining reordains	REORDAIN v -ED, -ING, -S
reorder reordered reordering reorders	REORDER v -ED, -ING, -S
reorg reorged reorging reorgs	REORG v -ED, -ING, -S to reorganize
reorient reoriented reorienting reorients	REORIENT v -ED, -ING, -S
reoutfit reoutfitted reoutfitting reoutfits	REOUTFIT v -FITTED, -FITTING, -FITS
reovirus reoviruses	REOVIRUS n pl. -ES a type of virus
rep repped repping reps	REP v REPPED, REPPING, REPS to represent
repacify repacified repacifying repacifies	REPACIFY v -FIED, -FYING, -FIES
repack repacked repacking repacks	REPACK v -ED, -ING, -S
repaint repainted repainting repaints	REPAINT v -ED, -ING, -S
repair repaired repairing repairs	REPAIR v -ED, -ING, -S to restore to good condition
repairer repairers	REPAIRER n pl. -S one that repairs
repand repandly	REPAND adj having a wavy margin REPANDLY adv
repanel repaneled repaneling repanels repanelled repanelling	REPANEL v -ELED, -ELING, -ELS or -ELLED, -ELLING, -ELS
repaper repapered repapering repapers	REPAPER v -ED, -ING, -S
repark reparked reparking reparks	REPARK v -ED, -ING, -S
repartee repartees	REPARTEE n pl. -S a quick, witty reply
repass repassed repassing repasses	REPASS v -ED, -ING, -ES
repast repasted repasting repasts	REPAST v -ED, -ING, -S to eat or feast
repatch repatched repatching repatches	REPATCH v -ED, -ING, -ES
repave repaved repaving repaves	REPAVE v -PAVED, -PAVING, -PAVES
repay repaid repaying repays	REPAY v -PAID, -PAYING, -PAYS to pay back
repeal repealed repealing repeals	REPEAL v -ED, -ING, -S to revoke
repealer repealers	REPEALER n pl. -S one that repeals
repeat repeated repeating repeats	REPEAT v -ED, -ING, -S to say or do again
repeater repeaters	REPEATER n pl. -S one that repeats
repeg repegged repegging repegs	REPEG v -PEGGED, -PEGGING, -PEGS
repel repelled repelling repels	REPEL v -PELLED, -PELLING, -PELS to drive back
repeller repellers	REPELLER n pl. -S one that repels
repent repented repenting repents	REPENT v -ED, -ING, -S to feel remorse or self-reproach for a past action
repenter repenters	REPENTER n pl. -S one that repents
repeople repeopled repeopling repeoples	REPEOPLE v -PLED, -PLING, -PLES
reperk reperked reperking reperks	REPERK v -ED, -ING, -S
repetend repetends	REPETEND n pl. -S a phrase or sound that is repeated
rephrase rephrased rephrasing rephrases	REPHRASE v -PHRASED, -PHRASING, -PHRASES
repin repinned repinning repins	REPIN v -PINNED, -PINNING, -PINS
repine repined repining repines	REPINE v -PINED, -PINING, -PINES to express discontent
repiner repiners	REPINER n pl. -S one that repines
replace replaced replacing replaces	REPLACE v -PLACED, -PLACING, -PLACES to take the place of
replacer replacers	REPLACER n pl. -S one that replaces
replan replanned replanning replans	REPLAN v -PLANNED, -PLANNING, -PLANS
replant replanted replanting replants	REPLANT v -ED, -ING, -S
replate replated replating replates	REPLATE v -PLATED, -PLATING, -PLATES
replay replayed replaying replays	REPLAY v -ED, -ING, -S
replead repleaded repled repleading repleads	REPLEAD v -PLEADED or -PLED, -PLEADING, -PLEADS
repledge repledged repledging repledges	REPLEDGE v -PLEDGED, -PLEDGING, -PLEDGES
replete repletes	REPLETE n pl. -S a worker ant that serves as a living storehouse for liquid food
replevin replevined replevining replevins	REPLEVIN v -ED, -ING, -S to replevy
replevy replevied replevying replevies	REPLEVY v -PLEVIED, -PLEVYING, -PLEVIES to regain possession of by legal action
replica replicas	REPLICA n pl. -S a close copy or reproduction
replicant replicants	REPLICANT n pl. -S an artificial imitation of a human being
replicon replicons	REPLICON n pl. -S a section of nucleic acid that replicates as a unit
replier repliers	REPLIER n pl. -S one that replies
replot replotted replotting replots	REPLOT v -PLOTTED, -PLOTTING, -PLOTS
replow replowed replowing replows	REPLOW v -ED, -ING, -S
replumb replumbed replumbing replumbs	REPLUMB v -ED, -ING, -S
replunge replunged replunging replunges	REPLUNGE v -PLUNGED, -PLUNGING, -PLUNGES
reply replied replying replies	REPLY v -PLIED, -PLYING, -PLIES to answer
repo repos	REPO n pl. -POS something repossessed
repoint repointed repointing repoints	REPOINT v -ED, -ING, -S
repolish repolished repolishing repolishes	REPOLISH v -ED, -ING, -ES
repoll repolled repolling repolls	REPOLL v -ED, -ING, -S
report reported reporting reports	REPORT v -ED, -ING, -S to give an account of
reporter reporters	REPORTER n pl. -S one that reports
reposal reposals	REPOSAL n pl. -S the act of reposing
repose reposed reposing reposes	REPOSE v -POSED, -POSING, -POSES to lie at rest
reposer reposers	REPOSER n pl. -S one that reposes
reposit reposited repositing reposits	REPOSIT v -ED, -ING, -S to put away
repot repotted repotting repots	REPOT v -POTTED, -POTTING, -POTS
repour repoured repouring repours	REPOUR v -ED, -ING, -S
repousse repousses	REPOUSSE n pl. -S a raised design hammered in metal
repower repowered repowering repowers	REPOWER v -ED, -ING, -S
repp repps	REPP n pl. -S a cross-ribbed fabric
repped	REPPED adj resembling rep
repress repressed repressing represses	REPRESS v -ED, -ING, -ES to keep under control
reprice repriced repricing reprices	REPRICE v -PRICED, -PRICING, -PRICES
reprieve reprieved reprieving reprieves	REPRIEVE v -PRIEVED, -PRIEVING, -PRIEVES to postpone the punishment of
reprint reprinted reprinting reprints	REPRINT v -ED, -ING, -S
reprisal reprisals	REPRISAL n pl. -S an act of retaliation
reprise reprised reprising reprises	REPRISE v -PRISED, -PRISING, -PRISES to take back by force
repro repros	REPRO n pl. -PROS a trial sheet of printed material suitable for photographic reproduction
reproach reproached reproaching reproaches	REPROACH v -ED, -ING, -ES to find fault with
reprobe reprobed reprobing reprobes	REPROBE v -PROBED, -PROBING, -PROBES
reproof reproofs	REPROOF n pl. -S criticism for a fault
reproval reprovals	REPROVAL n pl. -S reproof
reprove reproved reproving reproves	REPROVE v -PROVED, -PROVING, -PROVES to rebuke
reprover reprovers	REPROVER n pl. -S one that reproves
reptant	REPTANT adj creeping or crawling
reptile reptiles	REPTILE n pl. -S any of a class of cold-blooded, air-breathing vertebrates
reptilia	REPTILIA n/pl buildings for housing reptiles
