# 🚨
# 🚨 Source: https://wolfberg.net/what/TWLdefs.exe::TWLdefs.txt
# 🚨
	TWL98 (2006-04-15)
oodles	OODLES n pl. OODLES a large amount
oodlins	OODLINS n pl. OODLINS oodles
oogamete oogametes	OOGAMETE n pl. -S a female gamete of certain protozoa
oogamous	OOGAMOUS adj having structurally dissimilar gametes
oogamy oogamies	OOGAMY n pl. -MIES the state of being oogamous
oogeny oogenies	OOGENY n pl. -NIES the development of ova
oogonium oogonial oogoniums oogonia	OOGONIUM n pl. -NIA or -NIUMS a female sexual organ in certain algae and fungi OOGONIAL adj
ooh oohs oohing oohed	OOH v -ED, -ING, -S to exclaim in amazement, joy, or surprise
oolachan oolachans	OOLACHAN n pl. -S eulachon
oolite oolitic oolites	OOLITE n pl. -S a variety of limestone OOLITIC adj
oolith ooliths	OOLITH n pl. -S oolite
oologist oologists	OOLOGIST n pl. -S an expert in oology
oology oologic oologies	OOLOGY n pl. -GIES the study of birds' eggs OOLOGIC adj
oolong oolongs	OOLONG n pl. -S a dark Chinese tea
oomiac oomiacs	OOMIAC n pl. -S umiak
oomiack oomiacks	OOMIACK n pl. -S umiak
oomiak oomiaks	OOMIAK n pl. -S umiak
oompah oompahs oompahing oompahed	OOMPAH v -ED, -ING, -S to play a repeated rhythmic bass accompaniment
oomph oomphs	OOMPH n pl. -S spirited vigor
oophyte oophytic oophytes	OOPHYTE n pl. -S a stage of development in certain plants OOPHYTIC adj
oops	OOPS interj -- used to express mild apology, surprise, or dismay
oorali ooralis	OORALI n pl. -S curare
oorie	OORIE adj ourie
oosperm oosperms	OOSPERM n pl. -S a fertilized egg
oosphere oospheres	OOSPHERE n pl. -S an unfertilized egg within an oogonium
oospore oosporic oospores	OOSPORE n pl. -S a fertilized egg within an oogonium OOSPORIC adj
oot oots	OOT n pl. -S out
ootheca oothecal oothecae	OOTHECA n pl. -CAE an egg case of certain insects OOTHECAL adj
ootid ootids	OOTID n pl. -S one of the four sections into which a mature ovum divides
ooze oozes oozing oozed	OOZE v OOZED, OOZING, OOZES to flow or leak out slowly
ooziness oozinesses	OOZINESS n pl. -ES the state of being oozy
oozy oozily ooziest oozier	OOZY adj OOZIER, OOZIEST containing or resembling soft mud or slime OOZILY adv
op ops	OP n pl. -S a style of abstract art
opacify opacifies opacifying opacified	OPACIFY v -FIED, -FYING, -FIES to make opaque
opacity opacities	OPACITY n pl. -TIES something that is opaque
opah opahs	OPAH n pl. -S a marine fish
opal opals	OPAL n pl. -S a mineral
opalesce opalesces opalescing opalesced	OPALESCE v -ESCED, -ESCING, -ESCES to emit an iridescent shimmer of colors
opaline opalines	OPALINE n pl. -S an opaque white glass
opaque opaquely opaquest opaquer	OPAQUE adj OPAQUER, OPAQUEST impervious to light OPAQUELY adv
opaque opaques opaquing opaqued	OPAQUE v OPAQUED, OPAQUING, OPAQUES to make opaque
ope opes oping oped	OPE v OPED, OPING, OPES to open
open openable opens opening opened	OPEN v -ED, -ING, -S to cause to become open OPENABLE adj
open openest opener	OPEN adj OPENER, OPENEST affording unobstructed access, passage, or view
opencast	OPENCAST adj worked from a surface open to the air
opener openers	OPENER n pl. -S one that opens
opening openings	OPENING n pl. -S a vacant or unobstructed space
openly	OPENLY adv in an open manner
openness opennesses	OPENNESS n pl. -ES the state of being open
openwork openworks	OPENWORK n pl. -S ornamental or structural work containing numerous openings
opera operas	OPERA n pl. -S a form of musical drama
operable operably	OPERABLE adj usable OPERABLY adv
operand operands	OPERAND n pl. -S a quantity on which a mathematical operation is performed
operant operants	OPERANT n pl. -S one that operates
operate operates operating operated	OPERATE v -ATED, -ATING, -ATES to perform a function
operatic operatics	OPERATIC n pl. -S the technique of staging operas
operator operators	OPERATOR n pl. -S a symbol that represents a mathematical function
opercele operceles	OPERCELE n pl. -S opercule
opercula	OPERCULA n/pl opercules
opercule opercules	OPERCULE n pl. -S an anatomical part that serves as a lid or cover
operetta operettas	OPERETTA n pl. -S a light musical drama with spoken dialogue
operon operons	OPERON n pl. -S a type of gene cluster
operose	OPEROSE adj involving great labor
ophidian ophidians	OPHIDIAN n pl. -S a snake
ophite ophitic ophites	OPHITE n pl. -S an igneous rock OPHITIC adj
opiate opiates opiating opiated	OPIATE v -ATED, -ATING, -ATES to treat with opium
opine opines opining opined	OPINE v OPINED, OPINING, OPINES to hold or state as an opinion
oping	OPING present participle of ope
opinion opinions	OPINION n pl. -S a conclusion or judgment one holds to be true
opioid opioids	OPIOID n pl. -S a peptide that acts like opium
opium opiums	OPIUM n pl. -S an addictive narcotic
opiumism opiumisms	OPIUMISM n pl. -S opium addiction
opossum opossums	OPOSSUM n pl. -S an arboreal mammal
oppidan oppidans	OPPIDAN n pl. -S a townsman
oppilate oppilant oppilates oppilating oppilated	OPPILATE v -LATED, -LATING, -LATES to obstruct OPPILANT adj
opponent opponents	OPPONENT n pl. -S one that opposes another
oppose opposes opposing opposed	OPPOSE v -POSED, -POSING, -POSES to be in contention or conflict with
opposer opposers	OPPOSER n pl. -S one that opposes
opposite opposites	OPPOSITE n pl. -S one that is radically different from another in some related way
oppress oppresses oppressing oppressed	OPPRESS v -ED, -ING, -ES to burden by abuse of power or authority
oppugn oppugns oppugning oppugned	OPPUGN v -ED, -ING, -S to assail with argument
oppugner oppugners	OPPUGNER n pl. -S one that oppugns
opsin opsins	OPSIN n pl. -S a type of protein
opsonic	OPSONIC adj pertaining to opsonin
opsonify opsonifies opsonifying opsonified	OPSONIFY v -FIED, -FYING, -FIES to opsonize
opsonin opsonins	OPSONIN n pl. -S an antibody of blood serum
opsonize opsonizes opsonizing opsonized	OPSONIZE v -NIZED, -NIZING, -NIZES to form opsonins in
opt opts opting opted	OPT v -ED, -ING, -S to choose
optative optatives	OPTATIVE n pl. -S a mood of verbs that expresses a wish or desire
optic optics	OPTIC n pl. -S an eye
optical	OPTICAL adj pertaining to sight
optician opticians	OPTICIAN n pl. -S one who makes or deals in optical goods
opticist opticists	OPTICIST n pl. -S one engaged in the study of light and vision
optima	OPTIMA a pl. of optimum
optimal	OPTIMAL adj most desirable
optime optimes	OPTIME n pl. -S an honor student in mathematics at Cambridge University
optimise optimises optimising optimised	OPTIMISE v -MISED, -MISING, -MISES to optimize
optimism optimisms	OPTIMISM n pl. -S a disposition to look or the favorable side of things
optimist optimists	OPTIMIST n pl. -S one who exhibits optimism
optimize optimizes optimizing optimized	OPTIMIZE v -MIZED, -MIZING, -MIZES to make as perfect, useful, or effective as possible
optimum optimums	OPTIMUM n pl. -MA or -MUMS the most favorable condition for obtaining a given result
option options optioning optioned	OPTION v -ED, -ING, -S to grant an option (a right to buy or sell something at a specified price within a specified time) on
optional optionals	OPTIONAL n pl. -S an elective course of study
optionee optionees	OPTIONEE n pl. -S one who holds a legal option
opulence opulences	OPULENCE n pl. -S wealth
opulency opulencies	OPULENCY n pl. -CIES opulence
opulent	OPULENT adj wealthy
opuntia opuntias	OPUNTIA n pl. -S an American cactus
opus opuses	OPUS n pl. OPERA or OPUSES a literary of musical work
opuscula	OPUSCULA n/pl opuscules
opuscule opuscules	OPUSCULE n pl. -S a minor work
oquassa oquassas	OQUASSA n pl. -S a small lake trout
or ors	OR n pl. -S the heraldic color gold
ora	ORA pl. of os
orach oraches	ORACH n pl. -ES a cultivated plant
orache	ORACHE n pl. -S orach
oracle oracular oracles	ORACLE n pl. -S a person through whom a deity is believed to speak ORACULAR adj
orad	ORAD adv toward the mouth
oral orals	ORAL n pl. -S an examination requiring spoken answers
oralism oralisms	ORALISM n pl. -S the use of oral methods of teaching the deaf
oralist oralists	ORALIST n pl. -S an advocate of oralism
orality oralities	ORALITY n pl. -TIES the state of being produced orally
orally	ORALLY adv through the mouth
orang orangs	ORANG n pl. -S a large ape
orange oranges	ORANGE n pl. -S a citrus fruit
orangery orangeries	ORANGERY n pl. -RIES a place where orange trees are cultivated
orangey orangiest orangier	ORANGEY adj -ANGIER, -ANGIEST orangy
orangish	ORANGISH adj of a somewhat orange color
orangy	ORANGY adj -ANGIER, -ANGIEST resembling or suggestive of an orange
orate orates orating orated	ORATE v ORATED, ORATING, ORATES to speak formally
oration orations	ORATION n pl. -S a formal speech
orator orators	ORATOR n pl. -S one that orates
oratorio oratorios	ORATORIO n pl. -RIOS a type of musical composition
oratory oratories	ORATORY n pl. -RIES the art of public speaking
oratress oratresses	ORATRESS n pl. -ES oratrix
oratrix oratrices	ORATRIX n pl. -TRICES a female orator
orb orbs orbing orbed	ORB v -ED, -ING, -S to form into a circle or sphere
orbier	ORBIER comparative of orby
orbiest	ORBIEST superlative of orby
orbit orbits orbiting orbited	ORBIT v -ED, -ING, -S to move or revolve around
orbital orbitals	ORBITAL n pl. -S a subdivision of a nuclear shell
orbiter orbiters	ORBITER n pl. -S one that orbits
orby	ORBY adj ORBIER, ORBIEST resembling a circle or sphere
orc orcs	ORC n pl. -S a marine mammal
orca orcas	ORCA n pl. -S orc
orcein orceins	ORCEIN n pl. -S a reddish brown dye
orchard orchards	ORCHARD n pl. -S an area for the cultivation of fruit trees
orchid orchids	ORCHID n pl. -S a flowering plant
orchil orchils	ORCHIL n pl. -S a purple dye
orchis orchises	ORCHIS n pl. -CHISES an orchid
orchitis orchitic orchitises	ORCHITIS n pl. -TISES inflammation of the testicle ORCHITIC adj
orcin orcins	ORCIN n pl. -S orcinol
orcinol orcinols	ORCINOL n pl. -S a chemical compound
ordain ordains ordaining ordained	ORDAIN v -ED, -ING, -S to invest with holy authority
ordainer ordainers	ORDAINER n pl. -S one that ordains
ordeal ordeals	ORDEAL n pl. -S a severely difficult or painful experience
order orders ordering ordered	ORDER v -ED, -ING, -S to give a command or instruction to
orderer orderers	ORDERER n pl. -S one that orders
orderly orderlies	ORDERLY n pl. -LIES a male attendant
ordinal ordinals	ORDINAL n pl. -S a number designating position in a series
ordinand ordinands	ORDINAND n pl. -S a person about to be ordained
ordinary ordinaries	ORDINARY n pl. -NARIES something that is ordinary
ordinary ordinariest ordinarier	ORDINARY adj -NARIER, -NARIEST of a kind to be expected in the normal order of events
ordinate ordinates	ORDINATE n pl. -S a particular geometric coordinate
ordines	ORDINES a pl. of ordo
ordnance ordnances	ORDNANCE n pl. -S artillery; a cannon
ordo ordos	ORDO n pl. -DINES or -DOS a calendar of religious directions
ordure ordures	ORDURE n pl. -S manure
ore ores	ORE n pl. -S a mineral or rock containing a valuable metal
oread oreads	OREAD n pl. -S a mountain nymph in Greek mythology
orectic	ORECTIC adj pertaining to appetites or desires
orective	ORECTIVE adj orectic
oregano oreganos	OREGANO n pl. -NOS an aromatic herb used as a seasoning
oreide oreides	OREIDE n pl. -S oroide
orfray orfrays	ORFRAY n pl. -FRAYS orphrey
organ organs	ORGAN n pl. -S a differentiated part of an organism performing a specific function
organa	ORGANA a pl. of organon and organum
organdie organdies	ORGANDIE n pl. -S organdy
organdy	ORGANDY n pl. -DIES a cotton fabric
organic organics	ORGANIC n pl. -S a substance of animal or vegetable origin
organise organises organising organised	ORGANISE v -NISED, -NISING, -NISES to organize
organism organisms	ORGANISM n pl. -S any form of animal or plant life
organist organists	ORGANIST n pl. -S one who plays the organ (a keyboard musical instrument)
organize organizes organizing organized	ORGANIZE v -NIZED, -NIZING, -NIZES to form into an orderly whole
organon organons	ORGANON n pl. -GANA or -GANONS a system of rules for scientific investigation
organum organums	ORGANUM n pl. -GANA or -GANUMS organon
organza organzas	ORGANZA n pl. -S a sheer fabric
orgasm orgastic orgasmic orgasms	ORGASM n pl. -S the climax of sexual excitement ORGASMIC, ORGASTIC adj
orgeat orgeats	ORGEAT n pl. -S an almond-flavored syrup
orgiac	ORGIAC adj of the nature of an orgy
orgic	ORGIC adj orgiac
orgone orgones	ORGONE n pl. -S a postulated energy pervading the universe
orgulous	ORGULOUS adj proud
orgy orgies	ORGY n pl. -GIES a party marked by unrestrained sexual indulgence
oribatid oribatids	ORIBATID n pl. -S any of a family of eyeless mites
oribi oribis	ORIBI n pl. -S an African antelope
oriel oriels	ORIEL n pl. -S a type of projecting window
orient orients orienting oriented	ORIENT v -ED, -ING, -S to adjust in relation to something else
oriental orientals	ORIENTAL n pl. -S an inhabitant of an eastern country
orifice orifices	ORIFICE n pl. -S a mouth or mouthlike opening
origami origamis	ORIGAMI n pl. -S the Japanese art of paper folding
origan origans	ORIGAN n pl. -S marjoram
origanum origanums	ORIGANUM n pl. -S an aromatic herb
origin origins	ORIGIN n pl. -S a coming into being
original originals	ORIGINAL n pl. -S the first form of something
orinasal orinasals	ORINASAL n pl. -S a sound pronounced through both the mouth and nose
oriole orioles	ORIOLE n pl. -S an American songbird
orison orisons	ORISON n pl. -S a prayer
orle orles	ORLE n pl. -S a heraldic border
orlop orlops	ORLOP n pl. -S the lowest deck of a ship
ormer ormers	ORMER n pl. -S an abalone
ormolu ormolus	ORMOLU n pl. -S an alloy used to imitate gold
ornament ornaments ornamenting ornamented	ORNAMENT v -ED, -ING, -S to decorate
ornate ornately	ORNATE adj elaborately or excessively ornamented ORNATELY adv
ornery orneriest ornerier	ORNERY adj -NERIER, -NERIEST stubborn and mean-spirited
ornis ornithes	ORNIS n pl. ORNITHES avifauna
ornithic	ORNITHIC adj pertaining to birds
orogeny orogenic orogenies	OROGENY n pl. -NIES the process of mountain formation OROGENIC adj
oroide oroides	OROIDE n pl. -S an alloy used to imitate gold
orology orologies	OROLOGY n pl. -GIES the study of mountains
orometer orometers	OROMETER n pl. -S a type of barometer
orotund	OROTUND adj full and clear in sound
orphan orphans orphaning orphaned	ORPHAN v -ED, -ING, -S to deprive of both parents
orphic	ORPHIC adj mystical
orphical	ORPHICAL adj orphic
orphrey orphreys	ORPHREY n pl. -PHREYS an ornamental band or border
orpiment orpiments	ORPIMENT n pl. -S a yellow dye
orpin orpins	ORPIN n pl. -S orpine
orpine orpines	ORPINE n pl. -S a perennial herb
orra	ORRA adj occasional
orrery orreries	ORRERY n pl. -RERIES a mechanical model of the solar system
orrice orrices	ORRICE n pl. -S orris
orris orrises	ORRIS n pl. -RISES a flowering plant
ort orts	ORT n pl. -S a scrap of food
orthicon orthicons	ORTHICON n pl. -S a type of television camera tube
ortho	ORTHO adj pertaining to reproduction in a photograph of the full range of colors in nature
orthodox orthodoxes	ORTHODOX n pl. -ES one holding traditional beliefs
orthoepy orthoepies	ORTHOEPY n pl. -EPIES the study of correct pronunciation
orthosis orthoses	ORTHOSIS n pl. -THOSES an orthotic
orthotic orthotics	ORTHOTIC n pl. -S a brace for weak joints or muscles
ortolan ortolans	ORTOLAN n pl. -S a European bird
oryx oryxes	ORYX n pl. -ES an African antelope
orzo orzos	ORZO n pl. -ZOS rice-shaped pasta
os	OS n pl. ORA an orifice
os osar	OS n pl. OSAR an esker
os ossa	OS n pl. OSSA a bone
oscine oscinine oscines	OSCINE n pl. -S any of a family of songbirds OSCININE adj
oscitant	OSCITANT adj yawning
oscula	OSCULA pl. of osculum
osculant	OSCULANT adj adhering closely
oscular	OSCULAR adj pertaining to the mouth
osculate osculates osculating osculated	OSCULATE v -LATED, -LATING, -LATES to kiss
oscule oscules	OSCULE n pl. -S osculum
osculum	OSCULUM n pl. -LA an opening in a sponge
ose oses	OSE n pl. -S an esker
osier osiers	OSIER n pl. -S a European tree
osmatic	OSMATIC adj depending mainly on the sense of smell
osmics	OSMICS n/pl the study of the sense of smell
osmium osmious osmic osmiums	OSMIUM n pl. -S a metallic element OSMIC, OSMIOUS adj
osmol osmolal osmols	OSMOL n pl. -S a unit of osmotic pressure OSMOLAL adj
osmolar	OSMOLAR adj osmotic
osmole osmoles	OSMOLE n pl. -S osmol
osmose osmoses osmosing osmosed	OSMOSE v -MOSED, -MOSING, -MOSES to undergo osmosis
osmosis	OSMOSIS n pl. -MOSES a form of diffusion of a fluid through a membrane
osmotic	OSMOTIC adj pertaining to osmosis
osmous	OSMOUS adj containing osmium
osmund osmunds	OSMUND n pl. -S any of a genus of large ferns
osmunda osmundas	OSMUNDA n pl. -S osmund
osnaburg osnaburgs	OSNABURG n pl. -S a cotton fabric
osprey ospreys	OSPREY n pl. -PREYS an American hawk
ossa	OSSA pl. of os
ossein osseins	OSSEIN n pl. -S a protein substance in bone
osseous	OSSEOUS adj resembling bone
ossia	OSSIA conj or else -- used as a musical direction
ossicle ossicles	OSSICLE n pl. -S a small bone
ossific	OSSIFIC adj pertaining to the formation of bone
ossifier ossifiers	OSSIFIER n pl. -S one that ossifies
ossify ossifies ossifying ossified	OSSIFY v -FIED, -FYING, -FIES to convert into bone
ossuary ossuaries	OSSUARY n pl. -ARIES a receptacle for the bones of the dead
osteal	OSTEAL adj osseous
osteitis osteitic osteitides	OSTEITIS n pl. -ITIDES inflammation of bone OSTEITIC adj
osteoid osteoids	OSTEOID n pl. -S uncalcified bone matrix
osteoma osteomata osteomas	OSTEOMA n pl. -MAS or -MATA a tumor of bone tissue
osteosis osteosises osteoses	OSTEOSIS n pl. -OSES or -OSISES the formation of bone
