# 🚨
# 🚨 Source: https://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexus/subtlexus5.zip::SUBTLEXusrawdata.dat
# 🚨
Word	FREQcount	CDcount
-proclaim	1	1
-pronged	2	2
-Pronto	1	1
-proof	6	6
-Prophet	1	1
-PulI	1	1
-pull	1	1
-Pull	1	1
-pulling	1	1
-Purple	1	1
-Push	1	1
-PUSS	1	1
-Put	2	2
-Q-L-F	2	1
-Q	4	1
-Qu	2	1
-qualified	1	1
-quart	2	2
-que	1	1
-Queen	1	1
-question	2	2
-Quietly	1	1
-quisite	1	1
-R-	2	2
-R-G-F	1	1
-R	3	3
-Ran	1	1
-Randolph-in-the	1	1
-Razor	2	1
-Really	6	6
-recorded	1	1
-red	1	1
-Reese	2	1
-Regular	1	1
-reindeer	1	1
-rejection	1	1
-related	2	2
-Relax	1	1
-rella	1	1
-remember	1	1
-REPORTER	1	1
-reporting	1	1
-reports	2	2
-residential	1	1
-returned	1	1
-Reverend	1	1
-Revolutionary	1	1
-revolve	3	3
-RGNE	1	1
-right	1	1
-Right	15	13
-ring	1	1
-Ringed	1	1
-Robert-Charlie-	2	2
-Robert	2	2
-Roger	2	2
-roll	4	3
-rollin	2	1
-Roma	1	1
-Romeo	6	1
-Ronald	1	1
-room	5	5
-Rough	1	1
-round	6	5
-rounder	1	1
-Roy	1	1
-ruin	1	1
-run	6	6
-Run	1	1
-Russian	1	1
-S	3	3
-SAFE-DRlVING	1	1
-safety	1	1
-Sam-Adam-George	1	1
-same-	1	1
-Same	2	2
-Samuel	1	1
-san	1	1
-Sandoval	1	1
-Sandra	1	1
-Santa	2	1
-Satan	1	1
-Saturday	1	1
-Say	3	3
-Scavengers	1	1
-Screw	1	1
-Se	1	1
-seat	6	5
-second	44	42
-Second	1	1
-seconder	1	1
-secrets	2	1
-See	5	5
-Send	2	2
-Seriously	1	1
-seven	1	1
-seventy	1	1
-Sex	1	1
-Seymour	1	1
-Shalom	1	1
-Shank	1	1
-share	2	2
-Shared	1	1
-Sharon--	1	1
-Shawshank	1	1
-she	1	1
-She	15	9
-sheet	1	1
-sheets	1	1
-Shh	3	2
-shilling-a-week	1	1
-ships	1	1
-shirt	3	2
-shit	4	2
-Shit	3	2
-SHOE	2	1
-Shoot	2	2
-shot	10	8
-Shotgun	1	1
-Showtime	1	1
-Shut	3	3
-Si	2	1
-sick	1	1
-Sickness	1	1
-Silence	3	2
-Silent	1	1
-silk	1	1
-Since	1	1
-Sir	2	2
-Sister	1	1
-Six	1	1
-Size	1	1
-Skipper	1	1
-Skylar	1	1
-Sleep	1	1
-Slow	1	1
-Slowly	1	1
-SNlTCH	1	1
-so	4	4
-So	16	14
-soldiers	1	1
-some-odd	1	1
-some	6	6
-Some	4	4
-Somebody	1	1
-Someone	2	2
-somethin	7	7
-something-or-ot	1	1
-something	26	24
-somethings	2	2
-Song	1	1
-sorry--	1	1
-Sorry	10	9
-Sortons	1	1
-sound	4	1
-Sounds	1	1
-Soviet	1	1
-SPE	1	1
-Speaking	1	1
-speed	9	5
-speeding	2	2
-spend	1	1
-spot	3	3
-square-foot	3	3
-square-mile	2	2
-square	5	5
-Squeeler	1	1
-St	1	1
-stage	1	1
-stamp	1	1
-Stand	2	2
-standing	1	1
-Standing	1	1
-star	7	7
-state	3	3
-stay	2	2
-Stay	1	1
-step	12	12
-Step	1	1
-stepper	1	1
-stepping	1	1
-ster	1	1
-Stop	7	6
-store-and-under	1	1
-store	1	1
-storey	4	3
-storeys	1	1
-stories	1	1
-story-building	1	1
-story-high	1	1
-story	34	26
-Story	1	1
-stratops	1	1
-string	2	2
-Stringer	2	1
-stroke-	1	1
-stroke-E-B-Y	1	1
-stroke-R	1	1
-STUD	1	1
-Stun	1	1
-style	1	1
-Sugar-Charlie	1	1
-suicidal	1	1
-Suicide	1	1
-suit	1	1
-Superman	1	1
-support	1	1
-sure	1	1
-Sure	8	7
-Susan	1	1
-Sweet	1	1
-Sweetheart	1	1
-syllable	1	1
-Syrian	1	1
-T-A	1	1
-T-C-H	1	1
-T-O	1	1
-t	2	2
-T	3	3
-Take	2	2
-TALK	1	1
-talked	1	1
-Tammy	1	1
-Tango-	2	2
-Tango-Sierra	1	1
-Tap	1	1
-Tape	1	1
-tastic	2	2
-team	1	1
-TelI	1	1
-Tell	4	4
-Ten	4	4
-tenured	1	1
-Terry	3	1
-t�te	1	1
-Th	2	2
-Thai	2	1
-Thank	17	11
